iter	Passed	Remaining
0	136	136408
1	138	68970
2	139	46457
3	141	35246
4	144	28662
5	146	24281
6	147	20906
7	149	18577
8	152	16761
9	154	15277
10	157	14139
11	159	13152
12	162	12323
13	166	11740
14	170	11199
15	173	10657
16	176	10232
17	179	9796
18	181	9383
19	184	9037
20	187	8742
21	189	8427
22	193	8207
23	195	7940
24	197	7710
25	200	7517
26	202	7311
27	204	7105
28	207	6948
29	210	6797
30	213	6674
31	216	6534
32	218	6394
33	222	6314
34	224	6196
35	228	6112
36	231	6012
37	233	5916
38	236	5826
39	239	5743
40	242	5667
41	244	5582
42	246	5485
43	248	5404
44	251	5330
45	252	5241
46	254	5163
47	257	5116
48	260	5051
49	262	4992
50	265	4931
51	266	4862
52	269	4815
53	272	4766
54	273	4705
55	276	4654
56	278	4608
57	280	4549
58	282	4499
59	284	4460
60	286	4408
61	287	4357
62	289	4308
63	291	4270
64	293	4226
65	295	4178
66	297	4135
67	297	4083
68	299	4043
69	301	4005
70	302	3961
71	304	3920
72	305	3879
73	306	3840
74	308	3799
75	309	3758
76	310	3717
77	311	3678
78	312	3640
79	313	3604
80	314	3567
81	315	3531
82	316	3496
83	317	3459
84	317	3421
85	318	3387
86	319	3354
87	320	3326
88	321	3294
89	322	3263
90	323	3233
91	324	3202
92	325	3171
93	326	3142
94	326	3113
95	327	3087
96	328	3059
97	329	3032
98	330	3005
99	331	2979
100	331	2953
101	332	2924
102	332	2898
103	333	2874
104	334	2851
105	335	2829
106	336	2806
107	336	2783
108	337	2760
109	338	2738
110	339	2716
111	339	2694
112	340	2672
113	341	2651
114	341	2631
115	343	2618
116	344	2601
117	345	2583
118	346	2563
119	347	2546
120	348	2528
121	348	2511
122	349	2493
123	351	2482
124	352	2468
125	354	2457
126	355	2445
127	356	2427
128	359	2427
129	361	2416
130	362	2401
131	363	2388
132	364	2373
133	365	2360
134	366	2348
135	367	2334
136	368	2319
137	368	2304
138	369	2290
139	370	2276
140	371	2264
141	372	2252
142	374	2243
143	375	2233
144	377	2223
145	378	2214
146	380	2206
147	381	2195
148	383	2187
149	384	2178
150	385	2168
151	386	2158
152	388	2148
153	389	2137
154	390	2126
155	391	2116
156	392	2105
157	392	2093
158	393	2081
159	394	2070
160	395	2059
161	395	2047
162	396	2036
163	397	2025
164	398	2014
165	398	2003
166	399	1992
167	400	1982
168	400	1971
169	401	1961
170	402	1951
171	403	1940
172	403	1930
173	404	1919
174	404	1908
175	405	1899
176	406	1889
177	406	1879
178	407	1869
179	408	1861
180	409	1852
181	410	1846
182	411	1839
183	413	1832
184	414	1825
185	415	1818
186	417	1814
187	418	1807
188	419	1799
189	420	1791
190	421	1783
191	421	1775
192	422	1767
193	423	1758
194	424	1751
195	425	1745
196	426	1737
197	427	1729
198	427	1722
199	428	1715
200	429	1708
201	430	1701
202	431	1695
203	432	1689
204	433	1682
205	434	1675
206	435	1668
207	436	1660
208	437	1654
209	438	1647
210	439	1642
211	440	1636
212	441	1629
213	441	1622
214	442	1615
215	443	1608
216	443	1601
217	444	1594
218	445	1588
219	446	1582
220	447	1576
221	447	1569
222	448	1563
223	449	1557
224	450	1551
225	451	1545
226	451	1539
227	452	1533
228	453	1528
229	454	1522
230	455	1517
231	456	1511
232	457	1505
233	458	1499
234	458	1494
235	459	1488
236	460	1482
237	461	1477
238	462	1472
239	463	1466
