iter	Passed	Remaining
0	193	193134
1	203	101736
2	213	70967
3	222	55280
4	238	47548
5	241	40073
6	248	35305
7	255	31680
8	263	29058
9	269	26671
10	272	24457
11	274	22595
12	287	21849
13	321	22675
14	326	21454
15	331	20378
16	352	20371
17	355	19373
18	357	18450
19	377	18485
20	386	18003
21	549	24440
22	557	23689
23	564	22943
24	572	22330
25	584	21894
26	820	29581
27	822	28566
28	867	29052
29	889	28748
30	941	29434
31	945	28590
32	983	28824
33	986	28036
34	998	27522
35	1006	26964
36	1013	26383
37	1017	25757
38	1020	25156
39	1024	24592
40	1029	24088
41	1033	23584
42	1038	23119
43	1042	22654
44	1046	22206
45	1050	21782
46	1055	21399
47	1060	21033
48	1065	20688
49	1070	20343
50	1076	20033
51	1081	19725
52	1088	19450
53	1102	19306
54	1109	19056
55	1115	18803
56	1121	18546
57	1124	18267
58	1129	18021
59	1133	17756
60	1138	17530
61	1150	17412
62	1157	17213
63	1161	16993
64	1166	16778
65	1173	16605
66	1179	16423
67	1183	16219
68	1187	16024
69	1191	15826
70	1198	15678
71	1201	15490
72	1211	15380
73	1221	15287
74	1230	15173
75	1267	15408
76	1293	15504
77	1318	15591
78	1368	15951
79	1512	17396
80	1517	17212
81	1522	17044
82	1524	16843
83	1529	16678
84	1533	16512
85	1789	19017
86	1793	18816
87	1796	18617
88	1801	18434
89	1805	18256
90	1810	18087
91	1815	17914
92	1819	17745
93	1824	17584
94	1833	17462
95	1834	17277
96	1877	17477
97	1882	17330
98	1952	17772
99	1955	17602
100	1966	17501
101	1981	17445
102	1993	17357
103	1997	17211
104	2000	17052
105	2004	16909
106	2012	16791
107	2015	16648
108	2019	16505
109	2023	16371
110	2027	16234
111	2033	16124
112	2037	15990
113	2042	15871
114	2045	15739
115	2049	15617
116	2053	15499
117	2058	15388
118	2062	15266
119	2065	15146
120	2068	15027
121	2073	14921
122	2077	14813
123	2081	14703
124	2089	14624
125	2097	14547
126	2100	14440
127	2104	14337
128	2111	14255
129	2116	14161
130	2120	14068
131	2124	13968
132	2129	13884
133	2135	13799
134	2138	13701
135	2147	13640
136	2151	13552
137	2157	13479
138	2162	13393
139	2166	13308
140	2171	13227
141	2173	13131
142	2181	13073
143	2186	12996
144	2189	12912
145	2193	12831
146	2198	12754
147	2203	12682
148	2209	12616
149	2212	12537
150	2219	12476
151	2224	12412
152	2228	12338
153	2235	12280
154	2239	12207
155	2243	12138
156	2250	12081
157	2255	12018
158	2259	11953
159	2263	11883
160	2265	11808
161	2269	11740
162	2273	11675
163	2278	11616
164	2283	11553
165	2287	11491
166	2291	11428
167	2296	11375
168	2301	11316
169	2305	11257
170	2310	11201
171	2314	11141
172	2318	11084
173	2324	11035
174	2331	10992
175	2337	10944
176	2340	10883
177	2348	10847
178	2414	11074
179	2438	11110
180	2462	11142
181	2469	11098
182	2475	11050
183	2482	11011
184	2490	10973
185	2513	11000
186	2516	10942
187	2815	12162
188	2959	12701
189	2966	12647
190	2970	12583
191	2972	12509
192	2974	12436
193	2988	12414
194	3006	12413
195	3014	12363
196	3016	12295
197	3018	12227
198	3030	12199
199	3089	12359
200	3131	12447
201	3134	12383
202	3138	12320
203	3143	12264
204	3148	12209
205	3153	12153
206	3156	12094
207	3160	12035
208	3164	11977
209	3168	11917
210	3172	11863
211	3176	11807
212	3180	11752
213	3185	11701
214	3190	11649
215	3196	11600
216	3200	11549
217	3204	11496
218	3209	11445
219	3216	11405
220	3226	11371
221	3231	11326
222	3283	11439
223	3291	11402
224	3303	11379
225	3307	11326
226	3494	11900
227	3531	11957
228	3552	11962
229	3557	11910
230	3921	13055
231	3928	13003
232	3929	12935
233	3936	12885
234	3944	12839
235	3952	12796
236	3954	12731
237	3956	12666
238	3957	12602
239	3964	12555
240	3972	12510
241	3975	12453
242	3982	12406
243	3984	12344
244	3985	12282
245	3987	12221
246	3991	12169
247	4000	12129
248	4018	12119
249	4038	12114
250	4041	12059
251	4073	12091
252	4076	12034
253	4099	12039
254	4157	12145
255	4177	12141
256	4181	12088
257	4220	12138
258	4369	12501
259	4400	12523
260	4414	12498
261	4430	12479
262	4442	12449
263	4458	12429
264	4586	12721
265	4589	12664
266	4854	13328
267	4859	13273
268	4863	13216
269	4868	13162
270	4980	13397
271	4998	13378
272	5007	13334
273	5010	13276
274	5013	13217
275	5162	13543
276	5176	13510
277	5187	13473
278	5219	13488
279	5255	13514
280	5286	13526
281	5305	13507
282	5353	13564
283	5412	13645
284	5423	13605
285	5426	13548
286	5436	13507
287	5451	13476
288	5454	13420
289	5459	13366
290	5473	13336
291	5490	13312
292	5515	13308
293	5572	13381
294	5604	13393
295	5626	13381
296	5633	13335
297	5637	13280
298	5647	13240
299	5664	13217
300	5668	13163
301	5970	13800
302	6083	13994
303	6087	13937
304	6096	13893
305	6105	13848
306	6112	13797
307	6114	13737
308	6128	13704
309	6133	13651
310	6144	13612
311	6155	13573
312	6157	13514
313	6159	13456
314	6164	13405
315	6171	13359
316	6176	13306
317	6180	13254
318	6184	13203
319	6189	13152
320	6195	13105
321	6212	13081
322	6218	13034
323	6228	12996
324	6231	12943
325	6274	12972
326	6293	12952
327	6295	12897
328	6297	12844
329	6325	12841
330	6333	12800
331	6339	12756
332	6402	12824
333	6412	12786
334	6457	12818
335	6504	12853
336	6507	12803
337	6566	12860
338	6578	12826
339	6580	12774
340	6583	12722
341	6650	12794
342	6656	12749
343	6683	12746
344	6686	12695
345	6695	12655
346	6706	12621
347	6709	12571
348	6735	12564
349	6745	12527
350	6752	12486
351	6758	12441
352	6766	12402
353	6780	12372
354	6788	12333
355	6791	12286
356	6803	12253
357	6822	12235
358	6827	12190
359	6835	12152
360	6842	12112
361	6864	12098
362	6866	12049
363	6880	12022
364	6885	11979
365	6911	11972
366	6920	11935
367	6928	11899
368	6937	11863
369	6946	11828
370	6960	11801
371	6965	11758
372	6972	11720
373	6989	11699
374	6996	11661
375	6999	11615
376	7001	11570
377	7008	11531
378	7014	11492
379	7035	11478
380	7039	11436
381	7044	11397
382	7051	11359
383	7063	11330
384	7066	11287
385	7263	11553
386	7477	11844
387	7479	11798
388	7486	11758
389	7496	11724
390	7511	11699
391	7513	11654
392	7516	11609
393	7526	11576
394	7532	11536
395	7539	11499
396	7541	11454
397	7543	11409
398	7547	11368
399	7552	11329
400	7556	11287
401	7561	11247
402	7567	11210
403	7570	11167
404	7577	11132
405	7581	11092
406	7584	11050
407	7594	11020
408	7599	10981
409	7603	10942
410	7606	10900
411	7609	10860
412	7616	10824
413	7620	10787
414	7627	10752
415	7636	10720
416	7656	10704
417	7661	10667
418	7670	10636
419	7683	10610
420	7689	10575
421	7710	10561
422	7723	10535
423	7729	10500
424	7750	10486
425	7765	10463
426	7772	10429
427	7795	10418
428	7829	10421
429	7850	10407
430	7864	10382
431	7880	10361
432	7925	10378
433	7944	10360
434	7961	10340
435	7979	10322
436	7997	10303
437	8022	10293
438	8030	10262
439	8050	10245
440	8058	10214
441	8061	10177
442	8104	10189
443	8123	10172
444	8126	10135
445	8250	10248
446	8319	10292
447	8380	10325
448	8464	10387
449	8467	10349
450	8528	10381
451	8565	10385
452	8568	10346
453	8570	10306
454	8673	10389
455	8723	10406
456	8726	10369
457	8728	10329
458	8740	10302
459	8755	10277
460	8758	10240
461	8760	10201
